site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
SFT02,SFT02_2,LS,June,14,1,1,16.3148624535316
SFT02,SFT02_1,HS,June,21,0.714427367377293,0.9847328244274809,16.708126301179735
SFT02,SFT02_2,LS,June,21,0.714427367377293,1,16.363372657876475
01M01,01M01_1,HS,July,7,1,0.6196136701337296,23.859509658246658
01M01,01M01_1,HS,July,14,1,0.7992565055762082,24.38889219330855
01M01,01M01_1,HS,July,21,1,0.7734258800198315,24.37854734754586
01M02,01M02_1,HS,July,7,1,0,24.643907875185736
01M02,01M02_1,HS,July,14,1,0,24.850988847583643
01M02,01M02_1,HS,July,21,1,0,24.550570153693606
01M03,01M03_1,HS,July,7,1,0,24.250416047548292
01M03,01M03_2,LS,July,7,1,0,23.42955423476969
01M03,01M03_1,HS,July,14,1,0,24.714520446096653
01M03,01M03_2,LS,July,14,1,0,23.831799256505576
01M03,01M03_1,HS,July,21,1,0,24.641090728805157
01M03,01M03_2,LS,July,21,1,0,23.834774417451662
01M04,01M04_2,LS,July,7,1,0,26.380133729569092
01M04,01M04_2,LS,July,14,1,0,26.80699628252788
01M04,01M04_2,LS,July,21,1,0,26.367278135845314
01M05,01M05_1,HS,July,7,1,0,25.464710252600298
01M05,01M05_1,HS,July,14,1,0.058736059479553904,25.07336059479554
01M05,01M05_1,HS,July,21,1,0.09667823500247893,25.11593455627169
01M06,01M06_1,HS,July,7,1,0,23.033833580980684
01M06,01M06_1,HS,July,14,1,0,23.198185873605947
01M06,01M06_1,HS,July,21,1,0.17947446703024295,22.870892414476945
02M01,02M01_2,LS,July,7,1,0,24.83931649331352
02M01,02M01_2,LS,July,14,1,0,24.835472118959107
02M01,02M01_2,LS,July,21,1,0,25.047739216658403
02M02,02M02_1,HS,July,7,1,0.017830609212481426,23.740089153046064
02M02,02M02_1,HS,July,14,1,0.008921933085501859,23.85296654275093
02M02,02M02_1,HS,July,21,1,0.005949429846306396,23.77779375309866
02M03,02M03_1,HS,July,7,1,0.0014858841010401188,23.803506686478453
02M03,02M03_1,HS,July,14,1,7.434944237918215e-4,23.73695910780669
02M03,02M03_1,HS,July,21,1,4.957858205255329e-4,23.597486365889935
02M06,02M06_1,HS,July,7,1,0.27786032689450224,24.509613670133728
02M06,02M06_2,LS,July,7,1,1,23.551263001485886
02M06,02M06_1,HS,July,14,1,0.6371747211895911,24.06292936802974
02M06,02M06_2,LS,July,14,1,1,22.934185873605948
02M06,02M06_1,HS,July,21,1,0.7580565195835399,23.574734754586018
02M06,02M06_2,LS,July,21,1,1,22.44347050074368
02M07,02M07_1,HS,July,7,1,1,17.942407132243684
02M07,02M07_1,HS,July,14,1,1,17.346609665427508
02M07,02M07_1,HS,July,21,1,1,16.934060485870106
02M08,02M08_1,HS,July,7,1,0,25.663848439821695
02M08,02M08_2,LS,July,7,1,0.0014858841010401188,24.962511144130758
02M08,02M08_1,HS,July,14,1,0,26.078869888475836
02M08,02M08_2,LS,July,14,1,7.434944237918215e-4,25.275814126394053
02M08,02M08_1,HS,July,21,1,0,26.128562221120475
02M08,02M08_2,LS,July,21,1,4.957858205255329e-4,25.202022806147745
02M09,02M09_1,HS,July,7,1,0.9331352154531947,23.894591381872214
02M09,02M09_1,HS,July,14,1,0.966542750929368,23.389115241635686
02M09,02M09_1,HS,July,21,1,0.977689638076351,22.74777392166584
02M10,02M10_1,HS,July,7,1,1,22.693937592867755
02M10,02M10_2,LS,July,7,1,1,21.60735512630015
02M10,02M10_1,HS,July,14,1,1,21.606438661710037
02M10,02M10_2,LS,July,14,1,1,20.367732342007436
02M10,02M10_1,HS,July,21,1,1,20.64922657411998
02M10,02M10_2,LS,July,21,1,1,19.61046108081309
02M11,02M11_1,HS,July,7,1,1,25.658811292719168
02M11,02M11_2,LS,July,7,1,1,21.95306092124814
02M11,02M11_1,HS,July,14,1,1,25.989576208178438
02M11,02M11_2,LS,July,14,1,1,21.631881040892193
02M11,02M11_1,HS,July,21,1,1,25.78277144273674
02M11,02M11_2,LS,July,21,1,1,21.51852751611304
04M01,04M01_1,HS,July,7,1,1,21.632169390787517
04M01,04M01_2,LS,July,7,1,1,20.481946508172364
04M01,04M01_1,HS,July,14,1,1,21.195739776951672
04M01,04M01_2,LS,July,14,1,1,20.28988847583643
04M01,04M01_1,HS,July,21,1,1,21.042072384729796
04M01,04M01_2,LS,July,21,1,1,20.292429350520575
04M02,04M02_1,HS,July,7,1,1,20.27549777117385
04M02,04M02_2,LS,July,7,1,1,19.906225854383358
04M02,04M02_1,HS,July,14,1,1,20.10282527881041
04M02,04M02_2,LS,July,14,1,1,19.72036431226766
04M02,04M02_1,HS,July,21,1,1,20.486727813584533
04M02,04M02_2,LS,July,21,1,1,20.10992563212692
